tissueType	cellName	geneSymbolmore1	geneSymbolmore2	shortName
Lung	Immune system cells	Adgre1,Arg1,Birc5,Ccl17,Cd14,Cd163,Cd19,Cd22,Cd3d,Cd3e,Cd3g,Cd4,Cd44,Cd5,Cd74,Cd80,Cd83,Cd86,Cd8a,Cdca3,Cdk1,Cebpe,Cr2,Csf1r,Eaf2,Fcer2a,Flt3,H2-Ea-ps,Hmmr,Ighm,Il2ra,Itgae,Itgax,Lax1,Ms4a14,Mzb1,Nrp1,Nusap1,Pax5,Prg2,Ptprc,Slpi,Thbd,Tnfrsf17,Xcr1		Immune system
Lung	Endothelial cell	Cd34,Egfl7,Emcn,Esam,Flt1,Kdr,Mcam,Pecam1,Ramp2,Tek,Vwf		Endothelial cell
Lung	Epithelial cells	Anpep,Epcam,Il10,Il6ra		Epithelial
Lung	Ionocytes	Cftr,Foxi1,Kcnma1,Scgb1a1,Slc12a2,Tfcp2l1		Ionocytes
Lung	Pulmonary alveolar type I cells	Ager,Akap5,Aqp3,Aqp5,Ccn2,Cldn18,Clic5,Col4a3,Col4a4,Crlf1,Cyp4b1,Egfl6,Emp2,Fstl3,Gprc5a,Hopx,Icam1,Igfbp6,Krt7,Mex3b,Mmp11,P2rx7,Pdpn,Pxdc1,Rtkn2,Scnn1a,Scnn1b,Scnn1g,Sec14l3,Sema3b,Sema3e,Smarca1,Vegfa		AT1
Lung	Pulmonary alveolar type II cells	Abca3,Adgrf5,Ager,Cd36,Cd3g,Cebpa,Cldn18,Crlf1,Cxcr2,Ddx3y,Egfl6,Etv5,Grk2,Il1b,Irx1,Lpcat1,Lrg1,Muc1,Napsa,Nkx2-1,Nrn1,Pgc,Pigr,Ppbp,Ppp1r14c,Runx3,S100g,Sdc1,Sfta2,Sftpb,Sftpc,Sftpd,Slc34a2,Soat1		AT2
Lung	Secretory cell	Muc5b,Pigr,Scgb1a1		Secretory
Embryo	Cardiomyocytes	Vcam1		Cardiomyocytes
Embryo	Embryonic stem cells	Abcg3,Ano6,Bcl3,Bnip3,Cd9,Cdh1,Cdk8,Ctnnb1,Dppa2,Dppa3,Dppa4,Epcam,Esrrb,Fbxo15,Fut4,Fzd1,Gal,Gdf3,Gjb1,Gjb4,Gjc1,Hes1,Hoxb5,Il6st,Itga4,Itga6,Itgb1,Kcnip3,Kit,Kitl,Klf4,L1td1,Lef1,Lifr,Lmna,Myc,Nacc1,Nr6a1,Pcgf2,Pecam1,Piwil1,Piwil2,Piwil4,Pml,Podxl,Prdm5,Prom1,Pum2,Sall4,Slc46a2,Smad1,Smad2,Smad3,Smad4,Smad5,Sox15,Sox2,Stat3,Taf8,Tdgf1,Thy1,Trim28,Trim6,Zfp42,Zic1		Embryonic stem
Embryo	Epiblast cells	Bcl11a,Cdh1,Cldn6,Cldn7,Crmp1,Cxcl12,Dpysl5,Epcam,Ina,Lef1,Mfap2,Slc35d3,Sox11,Tdgf1		Epiblast
Embryo	Germ cells	Dazl		Germ
Embryo	Hemangioblasts	Etv2,Tal1		Hemangioblasts
Embryo	Mesenchymal stem cell	Eng,Nt5e,Thy1		MSC
Embryo	Neurons	Arx,Igfbpl1,Maf,Neurod1,Neurod6,Pls3		Neurons
Embryo	Trophoblast cells	Ackr2,Ascl2,Cd4,Cdx2,Dlx3,Elf5,Hand1,Hopx,Igf2,Inhba,Krt7,Lif,Mlana,Parp1,Perp,Phlda2,Pthlh,Serpine1,Sirt1,Star,Tfeb,Tnfrsf9,Ttpa		Trophoblast
Embryo	Trophoblast progenitor cells	Foxo4,Isg20,Tfap2c		Trophoblast progenitor
Gastrointestinal tract	Crypt cells	Ascl2,Axin2,Ephb2,Hopx,Kcne3,Kcnq1,Lgr5,Lrig1,Msi1,Olfm4,Prom1,Slc12a2,Smoc2,Tnfrsf19		Crypt
Gastrointestinal tract	Enteric glia cells	Aldh1a3,Cxcl14,Dhrs3,Dkk3,Gfap,Gfra3,Ints6,L1cam,Lgi4,Mpz,Nos2,Rgs16,S100b,Slc18a2,Sox10		Enteric glia
Gastrointestinal tract	Enteric neurons	Ahdc1,Arhgap26,Arhgef28,Astn1,Atf5,Cacna1b,Cacna1e,Cartpt,Cck,Celf6,Chrna3,Cyb561,Cyth3,Dmkn,Efna5,Eml5,Fbxo7,Filip1,Flot2,Fstl5,Gal,Gcnt2,Gfra2,Golga7b,Gpr22,Hand2,Hivep3,Hoxa5,Hoxb4,Hoxb5,Igf2bp3,Jph3,Lix1,Map6,Mfsd6,Myl1,Nmu,Parva,Phox2b,Pik3ca,Pirt,Plce1,Plekha5,Ppp2r5b,Ret,Rgmb,Rgs3,Scn3a,Scn7a,Slc18a3,Slc5a7,Slc7a14,Snx21,Stxbp5,Tac1,Tafa1,Tafa5,Tlx2,Tm4sf4,Tox,Tshz1,Ttbk2,Tub,Vezt,Vip,Vstm2l,Zdhhc2		Enteric neurons
Gastrointestinal tract	Enterochromaffin cells	Adm,Afp,Crh,Fgf1,Gjb1,Lmx1a,Piezo2,Reg4,Slc18a1,Tph1,Trpa1		Enterochromaffin
Gastrointestinal tract	Enterocytes	Abcc2,Abcg3,Abcg5,Abcg8,Abhd11,Acsl5,Aldob,Anpep,Apoa1,Apoa4,Apob,Apobec1,Apoc3,Aqp1,Aqp11,Aqp7,Aqp8,Art3,Ascl2,Aspn,Car1,Casp6,Cd36,Cdc42ep5,Cdh17,Cdh19,Cdo1,Cdx1,Cdx2,Cldn15,Col18a1,Col20a1,Cps1,Creb3l3,Cybrd1,Dab1,Degs2,Dgat1,Dgat2,Dmbt1,Dpp4,Ehf,Elf3,Ephx2,Fabp1,Fabp2,Fabp6,Fahd1,Fbp2,Fermt1,Flot2,Fuom,G0s2,Gata4,Gfra2,Gls,Gstm5,Gulp1,Hmox1,Hnf4a,Isx,Khk,Klf5,Krt20,Krtcap3,L1cam,Lct,Lgals2,Lypd8,Maoa,Mogat2,Mttp,Muc13,Myo1a,Nkd2,Nlrp6,Npc1l1,Nr1h4,Nr5a2,Otc,Pdha1,Pdzk1,Plin2,Plin3,Pmepa1,Pparg,Ppp1r14d,Prr15l,Rbp2,Rgmb,Rnf186,S100g,Sdsl,Slc10a2,Slc11a2,Slc15a1,Slc23a1,Slc26a2,Slc26a3,Slc28a1,Slc2a2,Slc2a5,Slc30a10,Slc35f1,Slc39a5,Slc40a1,Slc51a,Slc51b,Slc5a1,Smoc2,Sox10,Spon2,Tm4sf5,Tm6sf2,Tmc4,Tmem45b,Treh,Trpm6,Vdr,Vil1,Vnn1		Enterocytes
Gastrointestinal tract	Enteroendocrine cells	Afp,Arx,Cck,Chga,Chgb,Cpe,Enpp2,Fabp5,Ffar1,Ffar4,Gal,Gast,Gcg,Gfra3,Ghrl,Gip,Iapp,Isl1,Neurod1,Neurog3,Nkx2-2,Nts,Nucb2,Pax6,Pcsk1,Pyy,Rimbp2,Scgn,Scn3a,Sct,Sst,Sstr2,Tac1,Trpa1,Vegfa,Vwa5b2		Enteroendocrine
Gastrointestinal tract	Foveolar cells	Anxa10,Cldn18,Clps,Foxq1,Gkn1,Gkn2,Il33,Krt20,Lgals2,Lgals4,Muc1,Pgc,Pla2g1b,Psca,Ptgr1,Sult1c2,Tff1,Tff2		Foveolar
Gastrointestinal tract	Gastric chief cells	Anpep,Chrm3,Egfr,Kcnq1,Lgr5,Prkcz,Rab3d		peptic
Gastrointestinal tract	Goblet cells	Agr2,Aqp3,Atoh1,Bace2,Cdon,Cdx2,Clca1,Creb3l1,Galnt12,Guca2a,Itln1,Krt20,Krt7,Lrrc26,Manf,Muc13,Muc4,Muc5b,Nlrp6,Pdia5,Pla2g10,Rep15,Slc9a8,Spdef,Spink4,Tff3,Tpsg1,Zg16		Goblet
Gastrointestinal tract	Microfold cells	Ahr,Anxa5,Ccl20,Ctsh,Cxcl16,Cyba,Ehf,Fabp5,Fosl2,Foxp4,Gjb2,Gp2,Irf2,Irf6,Marcksl1,Mfge8,Mier3,Mtf1,Nfib,Nfic,Onecut2,Pglyrp1,Rac2,Relb,Sox8,Spib,Tmprss2,Tnfaip2,Tulp4		Microfold
Gastrointestinal tract	Paneth cells	9530003J23Rik,Adipoq,Agr2,Atg16l1,Cfd,Clca1,Csf2,Ctnnb1,Dll1,Dll4,Dmbt1,Fabp4,Gpx2,Guca2a,Guca2b,Il4ra,Itln1,Kcnn4,Klf15,Lgals2,Lgr4,Mmp7,Pla2g2a,Pnliprp2,Rap1a,Ripk2,Spink4,Tm4sf20,Wnt3		Paneth
Gastrointestinal tract	Parietal cells	Aqp4,Hdc,Hip1r,Kcne2,Kcnq1,Podxl,Ptch1,Shh		Parietal
Gastrointestinal tract	Tuft cells	Alox5,Atoh1,Avil,Camk2b,Cdhr2,Dclk1,Espn,Fabp1,Gfi1b,Gng13,Il13ra1,Il17rb,Irf7,Klf3,Klf6,Lrmp,Nrep,Plcb2,Pou2f3,Ptgs1,Ptprc,Rac2,Rgs2,Sox9,Trpm5,Tslp		Tuft
Muscle	Airway smooth muscle cells	Acta2,Foxf1,Gata5,Nog		ASM
Muscle	Endothelial cell	Cd34,Cdh5,Pecam1		Endothelial
Muscle	Mesenchymal stem cell	Cd44,Eng,Nt5e,Thy1		MSCs
Muscle	Muscle satellite cell	Cd82,Pax7		Myosatellite
Muscle	Myoblasts	Ache,Adam12,Angpt2,Arl4d,Braf,Capn1,Ccl2,Cdh15,Des,Egfr,Eno3,Fgfr4,Flnc,Igf2,Lif,Musk,Myd88,Myf5,Myod1,Myog,Ngf,Pax3,Pax7,Pdzrn3,Six1,Stk40,Tbx3,Tnfrsf12a,Tpm2,Ttn,Zbtb16		Myoblasts
Muscle	Myocytes	Acta1,Actc1,Actn2,Actn3,Adam12,Ankrd1,Arhgap26,Capza3,Cav3,Cdh15,Chodl,Ckm,Clock,Cmklr1,Cxcr4,Des,Dll1,Dmd,Dock1,Dock5,Edn1,Eno3,Fhl2,Flnc,Gata4,Gata5,Il4,Iqsec1,Itga3,Itga7,Lama2,Lamb1,Ldb1,Ldb3,Mef2a,Mef2b,Mef2d,Mmp2,Mmp9,Mrc1,Mstn,Myf5,Myh14,Myh7,Myl1,Mylpf,Myod1,Myog,Nbr1,Neb,Nid1,Nid2,Notch3,Nphs1,Nppb,Pax3,Pax7,Pld1,Popdc2,Prkcq,Ptgir,Ptk2,Pxn,Pygm,Six1,Six4,Sulf1,Tcap,Thbs4,Tnnc1,Tnni1,Tnni2,Tnnt1,Tnnt3,Tpm2,Trio,Ttn,Washc1,Wipf1		Myocytes
Muscle	Myoepithelial cells	Acta2,Actg2,Cd109,Cdh3,Cnn1,Egfr,Fst,Grwd1,Krt14,Krt17,Krt5,Lamb3,Lamc2,Mdfi,Mme,Myh11,Myl9,Mylk,Ngfr,Pxn,Serpinb5,Sfn,Smim3,Sphk1,Trp63		Myoepithelial
Muscle	Myofibroblasts	Acta2,Cald1,Cdh11,Des,Gfap,Myl9,Palld,Tagln,Tns1		Myofibroblasts
Muscle	Pericytes	Cspg4,Mcam,Pdgfra,Pdgfrb		Pericytes
Muscle	Pulmonary vascular smooth muscle cells	Angpt1,Pdgfrb		PASMCs
Muscle	Satellite cells	Asb5,Barx2,Cav1,Cd82,Cdcp1,Cdh1,Cdh15,Cxcr4,Dmd,Erbb2,Foxk1,Gal,Heyl,Hmox1,Hoxc10,Irf2,Isl1,Itga7,Mesp1,Met,Mstn,Myf5,Myod1,Ncam1,Nfatc2,Notch3,Pax3,Pax7,Peg3,Runx1,Scrib,Six1,Sox8,Spry1,Srxn1,Tcf21,Tnfrsf12a,Trim32,Vamp2,Vcam1		Satellite
Muscle	Smooth muscle cells	Ackr3,Acta2,Actc1,Actg2,Adamdec1,Akt2,Angpt1,Ankrd1,Aoc3,Bgn,Ccn3,Cnn1,Crabp1,Des,Dmpk,Ehd2,Fabp4,Fas,Fbln5,Fhl2,Gja4,Gjc1,Hexim1,Hhip,Hspb6,Itga1,Itga8,Itga9,Jph2,Kat2b,Kcnab1,Kcnmb1,Kif1c,Lamb2,Lgr6,Lmo7,Lmod1,Lox,Mfap5,Mrvi1,Msrb3,Mustn1,Myh11,Myh6,Myl9,Mylk,Nexn,Nf2,Notch3,Nox4,Nrp2,Obscn,Ogn,Otud1,Pcp4l1,Pde4dip,Pdgfd,Pln,Plxna1,Prxl2c,Rasl12,Rbpms2,Rgs5,Rprm,Rrad,Sec24d,Sh3bgr,Slc38a11,Smoc1,Smtn,Sncg,Sod3,Speg,Spon2,Sspn,Tagln,Tcf21,Vasn,Wfdc1,Wwp2,Zbtb44		SMCs
Muscle	Vascular smooth muscle cells	Acta2,Myh11,Pdgfrb,Sema3d,Tbx18,Wt1		VSMCs
Skin	Keratinocytes	Aqp3,Ccl2,Dmkn,Dsc3,Entpd2,Fgf5,Fst,Gjb3,Icam1,Il13ra1,Irf3,Krt1,Krt10,Krt14,Krt15,Krt16,Krt17,Krt36,Krt5,Krt84,Lama5,Lamc2,Lcn2,Ngfr,Pkp1,Pkp3,Plec,Rel,Ripk4,S100a14,Sbsn,Sfn,Sgpp1,Sirt7,Tfap2a,Tgm1,Trim29		Keratinocytes
Skin	Langerhans cells	Ache,Ahr,Ccr6,Cldn1,Ehf,Epcam,Gpnmb,H2-Ab1,H2-DMa,H2-Ea-ps,Prkcb,Ptprc,Tlr2		Langerhans
Skin	Melanocytes	Ahnak2,Ahr,Bnc2,Crabp1,Ctns,Dct,Dkk3,Enpp1,Filip1l,Gpnmb,Hspb1,Klc2,Loxl2,Men1,Mitf,Mlana,Pax3,Pmel,Pomc,Ppara,Ppard,Pparg,Prkca,Ptgds,Ptn,Rab38,Slc45a2,Slk,Sox9,Tfap2a,Tph2,Trp63,Trpm1,Tyr,Tyrp1,Zc3h7a		Melanocytes
Skin	Merkel cells	Atoh1,Chga,Fli1,Gfi1,Gnai1,Id2,Krt18,Krt20,Krt8,Piezo2,Pou4f3,Sox2,Trpv4,Ttf1,Vil1		Merkel
Skin	Sebocytes	Adipor1,Angptl4,Calca,Camp,Cdh1,Cebpa,Cebpb,Crh,Exo1,F2rl1,Ffar2,Ihh,Klf5,Krt7,Lta4h,Muc1,Ptger2,Rdh12,Srd5a2		Sebocytes
Skin	Trichocytes	Dsg2,Hoxc13		Trichocytes
Immune system	Cancer cells	Cd44,Epcam,Erbb2,Folh1,Krt18,Prom1		Cancer
Pancreas	Cancer stem cells	Cd44,Flot2		CSCs
Liver	Cancer stem cells	Anpep,Cd44,Epcam,Prom1,Thy1		CSCs
Eye	Cancer cells	Epcam		Cancer
Lung	Cancer stem cells	Abcg3,Alcam,Cd44,Kit,Nes,Pdpn,Prom1,Sox2,Thy1		CSCs
Brain	Cancer cells	Cd44,Mbtps2,Parp1		Cancer
Brain	Cancer stem cells	Fut4,Msi1,Nes,Prom1,Sox2,Thy1		CSCs
Kidney	Cancer stem cells	Epcam		CSCs
Mammary Gland	HR High Hormone Sensing Progenitors Post Involution	4930523C07Rik,Aff4,Agps,Ahnak,Angptl4,Anxa1,Anxa2,Anxa5,Aqp3,Aqp5,Areg,Arf5,Arf6,Arpc1b,Arpc2,Atf3,Atp1a1,Atp2b1,Atp6v0e,Atp6v1g1,B2m,Basp1,Bsg,Calm1,Camk2n1,Cck,Cd14,Cd164,Cd200,Cd63,Cd81,Cd82,Cd9,Cdc42ep3,Cdcp1,Cdh1,Cdkn1a,Chmp4b,Cirbp,Cited1,Cldn3,Cldn4,Cldn7,Clic1,Clic4,Cltb,Clu,Cox5a,Crip1,Crip2,Csf3,Csn1s1,Csn2,Csn3,Csrp1,Cst3,Cstb,Ctsb,Ctsh,Cxadr,Cystm1,Dst,Eef1b2,Eef1g,Efhd2,Ehd1,Ehd4,Eif3h,Eif3i,Eif3k,Eif5,Elf1,Emp1,Epcam,Ets2,Ezr,F3,Fam107b,Fdx1,Fgg,Fos,Fosb,Fuca1,Fxyd3,Gadd45a,Gadd45g,Gas6,Gclc,Gde1,Gipc2,Glul,Gnai2,Gng12,Gpx1,Gpx3,H1f0,Hbegf,Hilpda,Hmgn1,Hnrnpab,Hspa4,Hspb1,Ido1,Ier3,Ifrd1,Igfbp5,Itga6,Itm2b,Jun,Junb,Jund,Jup,Kcnk1,Klf5,Klf6,Kras,Krt18,Krt19,Krt7,Krt8,Ktn1,Lcn2,Lgals3,Lmna,Lmo7,Ltf,Ly6d,Ly6e,Lypd3,Map1b,Map2k3,Mast4,Mcl1,Mfge8,Mgst1,Mien1,Mrpl14,Mt2,Mtss1,Ncl,Ndfip2,Ndrg1,Ndufa4,Ndufa7,Nek7,Nfkbia,Nhp2,Nme1,Nrip1,Nupr1,Park7,Pde4b,Pdk4,Pfdn5,Phlda1,Phyh,Plaur,Plet1,Plin2,Plpp2,Pmepa1,Ppp2ca,Prdx2,Prlr,Psmb8,Ptbp3,Ptn,Qsox1,Rab25,Rac1,Rhoc,Rnh1,Rpl10a,Rpl11,Rpl12,Rpl18,Rpl18a,Rpl19,Rpl23,Rpl26,Rpl28,Rpl3,Rpl32,Rpl4,Rpl5,Rpl6,Rplp1,Rps11,Rps12,Rps13,Rps14,Rps16,Rps27a,Rps27l,Rps3a1,Rps4x,Rps5,Rps9,Rpsa,Rtn4,Runx1,S100a10,S100a11,S100a16,S100a6,Sdc4,Sdcbp,Serinc3,Sfn,Sgk1,Sgms2,Slc12a2,Slc5a5,Slc7a2,Smdt1,Smim22,Sox9,Spint2,Spp1,Sqstm1,Srrm1,Srrm2,Tacstd2,Tagln2,Tgif1,Tm4sf1,Tmbim6,Tmed3,Tmem176a,Tmem176b,Tmem56,Tmsb4x,Tnfrsf12a,Tpd52,Tpm1,Tpt1,Trf,Trps1,Tsc22d1,Tspan1,Tspan13,Tspan3,Tspo,Tubb2a,Tubb4b,Tubb6,Vamp8,Vps37b,Wfdc2,Yrdc,Zmiz1		HR High Hormone Sensing Progenitors Post Involution
Mammary Gland	HR High Hormone Sensing Progenitors Nulliparous	4930523C07Rik,Actg1,Actn1,Actn4,Adam10,Adss,Ahnak,Alcam,Aldh1a3,Ano6,Anxa1,Anxa2,Anxa3,Anxa5,Areg,Arf5,Arf6,Arpc1b,Arpc2,Atf3,Atox1,Atp2b1,Atp6v1g1,B2m,Basp1,Bhlhe41,Bsg,Btf3,Btg2,Camk2n1,Capns1,Cd164,Cd200,Cd63,Cd82,Cd9,Cdc42ep3,Cdcp1,Cdh1,Cdkn1a,Cdo1,Chic2,Chmp4b,Cirbp,Cited1,Cldn3,Cldn4,Cldn7,Clic1,Clic4,Cltb,Clu,Cox7c,Crb3,Crip1,Crip2,Csn3,Csrp1,Cst3,Cstb,Cxadr,Cystm1,Dst,Dstn,Eef1b2,Eef1g,Eef2,Efhd2,Ehd4,Eif3f,Eif3h,Eif3k,Eif4ebp1,Elf1,Emp1,Epcam,Ets2,Ezr,F3,Fam107b,Fau,Fdx1,Fgb,Fgfr2,Fgg,Fos,Fosb,Fxyd3,Gadd45a,Gadd45g,Gclc,Gde1,Gipc2,Glul,Gnai2,Gng12,Gpx1,Gpx3,Gsn,Gsr,H1f0,Hbegf,Hes1,Hif1a,Hmgn1,Hnrnpab,Hspb1,Ier3,Ifrd1,Igfbp5,Itga6,Jun,Junb,Jund,Jup,Klf5,Klf6,Klf7,Kras,Krt18,Krt19,Krt7,Krt8,Ktn1,Lcn2,Lgals3,Lmna,Lmo7,Lrrfip1,Lsr,Ly6d,Ly6e,Lypd3,Map1b,Map2k3,Mast4,Mboat1,Metap2,Mfge8,Msn,Mt2,Mtss1,Myl12a,Nav2,Ncl,Ndufa4,Ndufa7,Nek7,Nfkbia,Nhp2,Nme1,Nrip1,Nupr1,Phlda1,Phyh,Plaur,Plec,Plet1,Plk2,Plpp2,Pmepa1,Ppp2ca,Prlr,Ptbp3,Ptn,Pttg1ip,Qsox1,Rab11fip1,Rab25,Rac1,Rbms1,Rhoc,Rnh1,Rock2,Rpl10a,Rpl11,Rpl12,Rpl13,Rpl14,Rpl18,Rpl18a,Rpl19,Rpl22l1,Rpl23,Rpl26,Rpl27,Rpl28,Rpl3,Rpl30,Rpl32,Rpl34,Rpl36,Rpl38,Rpl4,Rpl5,Rpl6,Rpl8,Rplp1,Rps11,Rps12,Rps13,Rps14,Rps15a,Rps16,Rps17,Rps19,Rps20,Rps21,Rps24,Rps27a,Rps27l,Rps28,Rps3a1,Rps4x,Rps5,Rps7,Rps8,Rps9,Rpsa,Rras2,Rtn4,Runx1,S100a10,S100a11,S100a16,S100a6,Sdc4,Sdcbp,Serinc3,Sfn,Sgk1,Sgms2,Slc12a2,Slc7a2,Slco2a1,Socs3,Sox4,Sox9,Spint1,Spint2,Srrm1,Srrm2,St14,Svil,Tacstd2,Tagln2,Tgif1,Thbs1,Tjp2,Tm4sf1,Tmbim6,Tmed3,Tmem158,Tmem56,Tmsb4x,Tnfrsf12a,Tpd52,Tpm1,Tpm3,Tpt1,Trf,Tsc22d1,Tspan13,Ube2q2,Vmp1,Wfdc2,Ywhaz		HR High Hormone Sensing Progenitors Nulliparous
Mammary Gland	HR High Hormone Sensing Differentiated Post Involution	4930523C07Rik,Actb,Actg1,Adam10,Aff4,Agps,Ahnak,Alcam,Anxa1,Anxa2,Anxa5,App,Aqp5,Areg,Arf5,Arl6ip5,Arpc1b,Arpc2,Atf3,Atox1,Atp13a3,Atp1b1,Atp5c1,Atp5d,Atp5e,Atp5h,Atp5j,Atp6v0e,Atp6v1f,Atp6v1g1,Atpif1,Avpi1,B2m,Bsg,Btf3,Camk2n1,Capsl,Cd164,Cd200,Cd63,Cd82,Cd9,Cdh1,Cdo1,Cfl1,Chchd10,Chchd2,Chmp2a,Chmp4b,Chmp5,Cirbp,Cited1,Cldn10,Cldn3,Cldn4,Cldn7,Clic1,Clic4,Cltb,Clu,Cmpk1,Cmtm8,Cnn3,Cox4i1,Cox5a,Cox6b1,Cox7a2,Cox7c,Cox8a,Crip1,Crip2,Cstb,Ctsb,Cyb561,Cystm1,Dad1,Dctn3,Dkkl1,Dnajc12,Dst,Edf1,Eef1b2,Eef1d,Eef1g,Eef2,Ehd4,Eif3h,Eif3i,Eif3k,Elf1,Emp1,Epcam,Ets2,Ezr,F3,Fam3c,Fdx1,Fgb,Fgfr2,Fgg,Fos,Fuca1,Fxyd3,Gabarap,Gadd45a,Gadd45g,Gclc,Gde1,Gipc2,Glul,Gnai2,Gng12,Gpsm3,Gpx1,Gpx3,Gsn,Guk1,H1f0,Hagh,Hint1,Hmgn1,Hspa4,Hspb1,Ido1,Itga6,Junb,Jund,Jup,Kcnk1,Klf6,Krt18,Krt19,Krt7,Krt8,Ktn1,Lamtor2,Laptm4a,Lasp1,Lgals3,Lmna,Lmo7,Lsr,Ly6d,Ly6e,Map1b,Map2k3,Mien1,Mrpl14,Mt2,Mtss1,Myl12a,Naca,Ndufa13,Ndufa4,Ndufa6,Ndufa7,Ndufb7,Ndufc1,Nek7,Nfkbia,Nme1,Nupr1,Park7,Pfdn5,Pgls,Pgr,Phyh,Pkm,Plec,Plet1,Plk2,Plpp2,Pomp,Prdx2,Prdx5,Prlr,Prom1,Prss22,Prss23,Psmb1,Psmb8,Ptma,Ptn,Qsox1,Rab25,Rab27b,Rac1,Rhoc,Rnh1,Rpl11,Rpl12,Rpl18,Rpl18a,Rpl19,Rpl23,Rpl26,Rpl28,Rpl3,Rpl32,Rpl4,Rpl5,Rpl6,Rpl8,Rplp1,Rps11,Rps13,Rps14,Rps16,Rps17,Rps27a,Rps27l,Rps28,Rps3a1,Rps4x,Rps5,Rps9,Rpsa,Rtn4,Runx1,S100a1,S100a10,S100a11,S100a13,S100a16,S100a6,Sdc4,Sdcbp,Sdf2,Serinc3,Sfn,Sgms2,Slc12a2,Slc25a5,Slc5a5,Slc7a2,Smdt1,Smim22,Socs2,Socs3,Sox9,Spcs1,Spint2,Srp14,Srrm1,Srrm2,Stc2,Tacstd2,Tagln2,Tax1bp1,Tgif1,Tgm2,Tm4sf1,Tmbim4,Tmbim6,Tmed3,Tmem176a,Tmem176b,Tmem56,Tmem59,Tmem86a,Tmsb4x,Tnfrsf12a,Tpd52,Tpm1,Tpt1,Trappc6a,Trps1,Tsc22d1,Tspan1,Tspan13,Tspan3,Tspo,Ubxn1,Uqcr11,Vamp8,Vdac1,Vmp1,Vps37b,Wfdc2,Ybx1,Ypel3,Ywhae,Ywhaq,Zfand5,Zfp664		HR High Hormone Sensing Differentiated Post Involution
Mammary Gland	HR High Hormone Sensing Differentiated Nulliparous	4930523C07Rik,Actg1,Adam10,Adss,Aff4,Agps,Ahnak,Alcam,Anxa1,Anxa2,Anxa3,Aqp5,Areg,Arf5,Arpc1b,Atf3,Atox1,Atp13a3,Atp5c1,Atp5e,Atp6v0e,Atp6v1g1,Atpif1,B2m,Basp1,Bhlhe41,Bsg,Btf3,Camk2n1,Cct4,Cd164,Cd200,Cd63,Cd82,Cd9,Cdh1,Cdo1,Cfl1,Chchd10,Chic2,Cirbp,Cited1,Cldn3,Cldn4,Cldn7,Clic1,Clic4,Clu,Cmpk1,Cnn3,Cox4i1,Cox5a,Cox6b1,Cox7a2l,Cox7c,Cox8a,Crip1,Crip2,Csrp1,Cstb,Cxadr,Cyb561,Cystm1,Dst,Dstn,Eef1b2,Eef1d,Eef1g,Eef2,Ehd4,Eif3e,Eif3f,Eif3h,Eif3i,Eif3k,Eif4a2,Elf1,Emp1,Epcam,Ets2,Ezr,F3,Fam210b,Fau,Fdx1,Fgb,Fgfr2,Fgg,Fos,Fosb,Fuca1,Fxyd3,Gadd45a,Gadd45g,Gclc,Gde1,Gipc2,Glul,Gnai2,Gng12,Gpx1,Gpx3,Gsn,Gsr,H1f0,Hes1,Hif1a,Hmgn1,Hspb1,Ier3,Itga6,Jun,Junb,Jund,Jup,Klf6,Krt18,Krt19,Krt7,Krt8,Ktn1,Lgals3,Lmo7,Lsr,Ly6d,Ly6e,Map1b,Map2k3,Mboat1,Metap2,Mien1,Mrpl52,Mt2,Mtss1,Naca,Ncl,Ndufa13,Ndufa4,Ndufa6,Ndufa7,Nek7,Nfkbia,Nhp2,Nme1,Nupr1,Park7,Pfdn5,Phyh,Plac8,Plec,Plet1,Plk2,Plpp2,Pnrc1,Prdx2,Prlr,Psmb1,Ptbp3,Ptma,Ptn,Qsox1,Rab25,Rab27b,Rac1,Rhoc,Rnh1,Rpl10a,Rpl11,Rpl12,Rpl13,Rpl14,Rpl18,Rpl18a,Rpl19,Rpl22l1,Rpl23,Rpl26,Rpl27,Rpl28,Rpl3,Rpl30,Rpl32,Rpl34,Rpl36,Rpl38,Rpl4,Rpl5,Rpl6,Rpl7a,Rpl8,Rplp1,Rps11,Rps12,Rps13,Rps14,Rps15,Rps15a,Rps16,Rps17,Rps19,Rps20,Rps21,Rps24,Rps27a,Rps27l,Rps28,Rps3a1,Rps4x,Rps5,Rps7,Rps8,Rps9,Rpsa,Rtn4,Runx1,S100a10,S100a11,S100a13,S100a16,S100a6,Sdc4,Sdcbp,Serinc3,Sfn,Sgk1,Sgms2,Slc12a2,Slc25a5,Slc7a2,Slco2a1,Smagp,Smim22,Socs3,Sox4,Sox9,Spint1,Spint2,Srrm1,Srrm2,Svil,Tacstd2,Tagln2,Tgif1,Tgm2,Tm4sf1,Tmbim6,Tmed3,Tmem158,Tmem176b,Tmem56,Tmsb4x,Tnfrsf12a,Tomm7,Tpd52,Tpm1,Tpt1,Tsc22d1,Tspan1,Tspan13,Tspan3,Tspo,Ube2q2,Uqcr10,Uqcr11,Vdac1,Vmp1,Wfdc2,Zfand5,Zfp664		HR High Hormone Sensing Differentiated Nulliparous
