tissueType	cellName	geneSymbolmore1	geneSymbolmore2	shortName
Immune system	Granulocytes	9530003J23Rik,Ccr3,Cd14,Cd44,Cd63,Cd69,Cd9,Ctsg,Mpo		Gs
Immune system	ISG expressing immune cells	Cxcl10,Ifit2,Isg15,Isg20,Oasl1,Rsad2		ISG+
Pancreas	Acinar cells	9530003J23Rik,AA467197,Aldob,Angptl4,Anpep,Cel,Cela1,Clps,Cpa1,Cpa2,Cpb1,Ctrc,Cxcl17,Gdf15,Lgals2,Muc1,Olfm4,Pdzk1ip1,Pla2g1b,Pnlip,Pnliprp1,Ptf1a,Rarres2,Rbpjl,Rnase1,Spink1,Sycn,Zg16		Acinar
Pancreas	Alpha cells	Arx,Chga,Cryba2,Dpp4,F10,Fap,Fev,Gc,Gcg,Irx1,Irx2,Kcnk16,Klhl41,Ldb2,Mafb,Neurod1,Nkx2-2,Nkx6-1,Pax6,Pcsk1,Pcsk2,Pemt,Pgr,Plce1,Pou3f4,Prrg2,Ptger3,Pyy,Resp18,Rfx6,Scgn,Sh3gl2,Slc30a8,Slc38a5,Smarca1,Smim24,Tm4sf4,Ttr,Ucp2		Alpha
Pancreas	Beta cells	Adcyap1,Bmp5,Casr,Cd40,Edaradd,Efna5,Ezh1,Ffar2,G6pc2,Gcgr,Gjd2,Hopx,Iapp,Igf2,Isl1,Jph3,Lmx1a,Mafa,Mafb,Neurod1,Nkx2-2,Nkx6-1,Nkx6-2,Nptx2,Npy,Ntrk1,Pax4,Pax6,Pcsk1,Pcsk2,Pdx1,Pir,Rims1,Scgn,Sh3gl2,Six2,Six3,Slc2a2,Slc30a8,Syt13,Tgfbr3		Beta
Pancreas	Delta cells	Baiap3,Bche,Bhlhe41,Casr,Edn3,Ehf,Etv1,Ffar4,Frzb,Gabrb3,Gabrg2,Iapp,Isl1,Kcnk16,Lcorl,Lepr,Ms4a8a,Nptx2,Pax4,Pcsk1,Pcsk9,Pdx1,Pou3f1,Prg4,Rbp4,Resp18,Scgn,Sst,Ucp2,Unc5b		Delta
Pancreas	Ductal cells	Aldh1a3,Ambp,Anxa4,Aqp1,Cftr,Cldn1,Cldn10,Gdf15,Hnf1b,Krt19,Krt20,Lgals4,Mmp7,Muc1,Onecut1,Pdlim3,Pdx1,Perp,Pigr,Serpina5,Serping1,Slpi,Spp1,Tff1,Tff2,Tspan8,Wfdc2		Ductal
Pancreas	Endothelial cells	A2m,Cd34,Cdh5,Eng,Kdr,Mcam,Pdpn,Pecam1,Sele,Vwf		ECs
Pancreas	Epsilon cells	Adamts6,Aff3,Arx,Asgr1,Bmp4,Cd109,Col12a1,Corin,Cox6a2,Elovl2,Eya4,Fam124a,Ghrl,Hmgcs2,Hrh2,Itga4,Myo1a,Npy1r,Olfml3,Oprk1,Pcsk6,Ptger4,Slc6a16,Slc7a9,Thsd4,Tm4sf5,Xylb		Epsilon
Pancreas	Gamma (PP) cells	Abcc9,Apobec2,Aqp3,Arx,Cartpt,Chn2,Cmtm8,Egr3,Entpd2,Etv1,Isl1,Lmo3,Meis1,Neurod1,Pax6,Ppy,Ptgfr,Pxk,Scgn,Sema3e,Sertm1,Slitrk6,Thsd7a,Zfp503		Gamma
Pancreas	Immune system cells	Ccr7,Cd14,Cd163,Cd19,Cd27,Cd38,Cd3d,Cd3e,Cd3g,Cd4,Cd7,Cd79a,Cd8a,Ctla4,Cytip,Foxp3,Igkc,Il2ra,Il7r,Isg20,Mrc1,Ms4a1,Sell		Immune
Pancreas	Mast cells	Cd9,Enpp3,Fcer1a,Fcer2a,Il2ra,Isg20,Kit,Slc18a2		Mast
Pancreas	Mesenchymal cells	Alcam,Eng,Itgb1,Kit,Nt5e,Thy1		MCs
Pancreas	Pancreatic progenitor cells	Arx,Ctnnb1,Cxcr4,Epas1,Isl1,Mfng,Neurog3,Nkx2-2,Onecut1,Pdx1,Ptf1a,Rgs16,Sox9,Yap1		PPCs
Pancreas	Pancreatic stellate cells	Ccn2,Cygb,Gem,Inhba,Krt10,Mmp14,Ndufa4l2,Pdgfra,Pdgfrb,Rgs5,Spon2,Tgfb1,Timp1		PSCs
Pancreas	Peri-islet Schwann cells	Egfl8,Fign,Gfra1,Gfra2,Gfra3,Gulp1,Insc,Lrrtm1,Mpz,Ngfr,Olfml2a,Pnliprp1,Sema3b,Slitrk2,Slitrk6,Vgll3		Islet Schwann
Liver	Cholangiocytes	Agr2,Alb,Alpl,Aqp1,Aqp4,Cftr,Cldn4,Cxcl5,Elf3,Epcam,Ggt6,Ggt7,Gpbar1,Hnf1b,Itgb4,Jag1,Kcnn2,Krt19,Krt7,Krt8,Lcn2,Lgals2,Lgals4,Mmp7,Muc5b,Onecut2,Pigr,Scgb3a1,Slc4a2,Sox9,Spp1,Sstr2,Tacstd2,Tff1,Tff2,Tff3		Cholangiocytes
